instance,status,variables,clauses,conflicts,decisions,propagations,memory_mb,cpu_time_s
27c5f48bd8a777b4a2e7d8adfc55874b-unif-k5-r21.3-v110-c2343-S257485978-084,TIMEOUT,110,2343,4614820,5439691,82977010,13.47,59.9934
951410af4be27ac2e302055a023a5f87-iso-brn003.shuffled-as.sat05-2928,UNSATISFIABLE,834,7676,37,44,2430,11.3,0.007868
ec69e0e0c080d7ce7075b479d6b07b52-unif-k6-r43.37-v214-c9281-S5123760364756529069,TIMEOUT,214,9281,2012128,2606172,51908021,33.76,59.9721
9c7cac6d95fd533c70c1322bd34153cf-fdmus_b17_400,UNSATISFIABLE,4014,11161,11490,16818,1455689,12.33,0.242584
70ab815c47fbb81c9aae9568e2babf3d-x9-04023.sat.sanitized,SATISFIABLE,200,1798,1079,1467,59655,10.91,0.011431
854f8eccf7826987af093c6b259a192f-unif-c1505-v350-s1682296121,TIMEOUT,350,1505,4849647,5902444,258295880,11.01,59.946
6d2aca2a97e05cc7e5ee613891454730-mrpp_8x8#18_12,UNSATISFIABLE,10790,87871,31121,227680,2240204,20.95,0.571607
e6f871398bec2ed29fd09681afd329cc-4col240_9_3.shuffled,TIMEOUT,480,4271,3571427,11184486,185330735,21.18,59.9858
3b4f000652d4a766cb91c4d42ab2529a-fdmus_b22_738,UNSATISFIABLE,3576,9707,16841,44375,1164687,12.15,0.175043
a037973689117c32641f961f2096038e-okgen-c1600-v400-s1362978124-1362978124,SATISFIABLE,400,1600,142014,182625,8890701,10.91,1.50447
35600ef054d57e861e382087fc37de0e-unif-k7-r86.116-v160-c13779-S813936706873391741,TIMEOUT,160,13779,1644333,2061630,31710590,44.25,59.9569
ca14bd8baf145487ea6e9b0278ef3ba3-gripper10u.used-as.sat04-420,TIMEOUT,2312,17104,1032213,1876040,183646067,43.8,59.9481
6a64335da8a651975266fdb7d2345c53-satch2ways12,TIMEOUT,12651,39093,467030,561703,215248676,43.43,59.9259
95652fb0150d4c8a955b53e00e615cf3-unif-k4-r9.931-v161-c1599-S6763884541240260697,TIMEOUT,161,1599,5308566,6338044,142884072,12.09,59.9791
0ef5a0ae2b611f9ff05c006a74893faf-x9-12022.sat.sanitized,TIMEOUT,600,5401,1601134,2161616,190697689,18.2,59.9647
2ce5d7c2f71f8d1cd6471932b1cb854e-AProVE07-03,TIMEOUT,3114,10580,1614869,2698648,283307861,23.17,59.9715
3efc4b3812c30b06a6b8be2caa9f2f8d-OKgenerator_s0=32s1=30n=140l=7cp=11900-Dnr0=0nr1=8-o.shuffled-as.sat05-1597,TIMEOUT,140,11900,1884870,2325928,33098201,30.39,59.9479
e77eac0b917c3429ae0ee4d655a6fb0e-hardnm-L29-02-S665597766.shuffled-as.sat03-936,SATISFIABLE,841,3364,2215702,2881252,294929774,14.62,54.9321
a1b36f4dc604f0f4149c7a0f545e50fb-eqbpdtlf14bpwtcl14,TIMEOUT,4719,14071,697144,880092,321537418,23.04,59.9709
a8f5ab5ea527038730c529a5403ed385-unif-k5-r20.756-v720-c14944-S4711731192816606508,TIMEOUT,720,14944,1261730,2005659,83518131,53.06,59.9519
f02fadf5506089edc95d31c7b3d94c26-3col80_5_7.shuffled,SATISFIABLE,160,658,142,197,6302,10.91,0.003411
4ef87312e8d6aebb37a4761c1878fa9b-hgen2-v600-s1772982715,TIMEOUT,600,2100,3205245,4291978,262972715,18.53,59.9742
b76fb60eb4059685522574e8b16af219-unif-k3-r4.25-v500-c2125-S349436298-004,TIMEOUT,500,2125,3762671,4749285,262576859,14.89,59.9808
c745d6865770dbed1ea079cecfa112b0-unif-k6-r41.685-v300-c12506-S7294067806889078218,TIMEOUT,300,12506,1626330,2217518,53455598,33.02,59.9688
68eff669398f07b0f360fa52c2bffbd8-bench_3370.smt2,TIMEOUT,25148,82624,670737,1080708,326137570,79.6,59.9329
7f21a1b2f551a7c0d947179e02b0f2f6-unif-p12-k5-r21.117-v250-c5279-S5146849569236987172,TIMEOUT,250,5279,2529525,3236580,80374387,22.23,59.9836
d32ea31d166b5dafcfd5f6757b1e5255-x9-03010.sat.sanitized,SATISFIABLE,150,1352,67,95,3233,10.91,0.00185
d7ecfff20f4d8adda8faacefd6a46096-bench_10417.smt2,UNSATISFIABLE,4763,16159,2434,8680,157810,12.82,0.03659
292fd16f1ef46f416a806ffa096e9565-mod2c-rand3bip-sat-210-3.shuffled-as.sat05-2475,TIMEOUT,298,2176,4255281,5125748,216721458,11.04,59.9872
a6bd5a751a8be9ddc3c3ae5c349f3a08-unif-k7-r85-v200-c17000-S948914005-013,TIMEOUT,200,17000,1512058,1967216,34263604,44.48,59.9594
646c5dd00cc8abd592a33e18c0d2aa39-manthey_single-ordered-initialized-w26-b7,UNSATISFIABLE,3367,22795,15473,27287,3933634,13.41,0.570002
6d271129ead08249b5bea80758282628-fdmus_b17_827,UNSATISFIABLE,5037,14115,2910,5168,604088,12.93,0.087385
95aef5f6b8c709b12c204bafb5a6a0f0-unif-k5-r20.997-v440-c9239-S6663133301932508490,TIMEOUT,440,9239,1804932,2564861,85091045,42.77,59.929
a67eeaff70263f98f1153183c54fb84a-unif-k7-r85-v160-c13600-S432776913-077,TIMEOUT,160,13600,1795425,2258045,34651916,44.42,59.9395
a653530218c80ff10f7415c6964a671f-unif-k3-r4.26-v500-c2130-S831119356-083.SATISFIABLE,TIMEOUT,500,2130,3827844,4828302,261273675,14.28,59.8286
901dfaac739b6cb18711faac9f5b909d-queen12_12.col.12,TIMEOUT,1584,57256,349633,434316,19556120,51.12,59.9436
4483f9654fdf809f93ded32e47cea3d3-driverlog4_ks99i.shuffled-as.sat05-4021,SATISFIABLE,920,16360,8,32,578,12.01,0.026105
c6b56259b19a76d039d8a8695910e6a6-fdmus_b22_102,UNSATISFIABLE,4137,11425,15990,35015,1116631,12.31,0.176467
831b00c2a724ddd066932d4f35ea7136-unif-k7-r85.0-v200-c17000-S761239591813232757,TIMEOUT,200,17000,1538193,2005000,34766799,33.38,59.9373
7938eb1645d728244f90c8d294321338-fla-komb-440-4,SATISFIABLE,440,2290,196333,243549,10993041,11.05,2.28374
b41381ab6d34dfcfd3d49e2179063079-x9-07068.sat.sanitized,SATISFIABLE,350,3148,93122,118547,7822527,11.04,1.72364
e6f6a122f3988097a98995bfb7e1d1bb-mp1-klieber2017s-1200-022-eq,TIMEOUT,7231,21624,952155,1013241,383726551,18.95,59.9787
beedd584d62629c943f26925645c84f9-x9-04017.sat.sanitized,SATISFIABLE,200,1801,56,110,2739,10.91,0.002086
a01c43dcaabce980d78e4b658c37242c-x1_128.shuffled,TIMEOUT,382,1018,13663846,22975252,156926464,17.11,59.9867
cee485c7a301636a77d629b1897b476a-VanDerWaerden_pd_2-3-25_606,TIMEOUT,303,49099,1001079,1290325,39284528,57.28,59.9501
ccf293841601476d5957770507753e9a-fla-qhid-200-4,SATISFIABLE,200,1100,1970,2493,71473,10.91,0.013641
